cls	acc	F1	bal_acc	cal_F1	MCC	Avg	tp	tn	fp	fn	support	total	model	filename
40	0.945	0.767	0.838	0.802	0.742	0.787	821	7776	134	364	1185	9095	coastnet	./predictions/ATL24_20220815130101_08341607_005_01_gt1r_0_classified_0.csv
40	0.840	0.874	0.859	0.813	0.676	0.806	514	264	26	122	636	926	coastnet	./predictions/ATL24_20190318113445_12220208_005_01_gt2l_0_classified_0.csv
40	0.872	0.635	0.735	0.639	0.617	0.656	695	4736	37	762	1457	6230	coastnet	./predictions/ATL24_20230213042035_08341807_006_01_gt1l_0_classified_0.csv
40	0.957	0.513	0.702	0.578	0.507	0.575	334	13935	165	469	803	14903	coastnet	./predictions/ATL24_20210902114045_10821203_005_01_gt1r_0_classified_0.csv
40	0.984	0.874	0.941	0.933	0.865	0.903	2521	41802	424	306	2827	45053	coastnet	./predictions/ATL24_20210804203329_06441214_005_01_gt1r_0_classified_0.csv
40	0.900	0.928	0.865	0.789	0.785	0.842	23977	9926	3423	324	24301	37650	coastnet	./predictions/ATL24_20190429055556_04730306_005_01_gt3l_2_classified_0.csv
40	0.968	0.811	0.865	0.842	0.798	0.829	1001	13333	114	354	1355	14802	coastnet	./predictions/ATL24_20220611101653_12271501_006_01_gt3r_0_classified_0.csv
40	0.913	0.889	0.907	0.875	0.817	0.872	18222	29398	2111	2446	20668	52177	coastnet	./predictions/ATL24_20201031105458_05690907_005_01_gt1l_0_classified_0.csv
40	0.880	0.033	0.508	0.033	0.107	0.170	14	6001	3	818	832	6836	coastnet	./predictions/ATL24_20230328030558_01031906_006_01_gt2l_0_classified_0.csv
40	0.890	0.649	0.768	0.695	0.591	0.676	907	7003	322	658	1565	8890	coastnet	./predictions/ATL24_20190617141844_12270301_006_02_gt2l_0_classified_0.csv
40	0.951	0.920	0.942	0.924	0.885	0.918	4942	11564	418	437	5379	17361	coastnet	./predictions/ATL24_20220622132617_00101601_005_02_gt2r_1_classified_0.csv
40	0.966	0.795	0.852	0.824	0.783	0.814	941	12649	104	380	1321	14074	coastnet	./predictions/ATL24_20210402122421_01331101_005_01_gt1r_0_classified_0.csv
40	0.977	0.768	0.817	0.776	0.775	0.784	2352	58315	72	1350	3702	62089	coastnet	./predictions/ATL24_20211225064753_00461402_005_01_gt2l_0_classified_0.csv
40	0.957	0.808	0.915	0.895	0.786	0.851	3049	29351	963	487	3536	33850	coastnet	./predictions/ATL24_20200212214153_07360601_005_01_gt1r_0_classified_0.csv
40	0.978	0.390	0.762	0.687	0.396	0.559	820	114420	1871	697	1517	117808	coastnet	./predictions/ATL24_20211126142859_09951302_005_01_gt1l_1_classified_0.csv
40	0.960	0.886	0.909	0.897	0.865	0.889	4320	22621	213	900	5220	28054	coastnet	./predictions/ATL24_20220816115520_08491601_005_01_gt3r_0_classified_0.csv
40	0.955	0.873	0.932	0.914	0.846	0.891	3590	18723	632	413	4003	23358	coastnet	./predictions/ATL24_20210406085423_01911113_005_01_gt1r_0_classified_0.csv
40	0.945	0.735	0.810	0.763	0.717	0.756	10186	116828	1435	5925	16111	134374	coastnet	./predictions/ATL24_20210828220459_10121207_005_01_gt2r_0_classified_0.csv
40	0.994	0.851	0.944	0.939	0.849	0.896	461	24534	105	56	517	25156	coastnet	./predictions/ATL24_20220808201030_07321602_006_01_gt1r_0_classified_0.csv
40	0.951	0.866	0.893	0.877	0.841	0.869	4339	21872	241	1102	5441	27554	coastnet	./predictions/ATL24_20220914200409_12971602_005_01_gt1r_0_classified_0.csv
40	0.961	0.496	0.695	0.565	0.491	0.562	1926	94276	1055	2865	4791	100122	coastnet	./predictions/ATL24_20220824201715_09761608_005_01_gt2r_1_classified_0.csv
40	0.960	0.482	0.759	0.682	0.465	0.597	799	40145	1044	671	1470	42659	coastnet	./predictions/ATL24_20220810205329_07631602_005_01_gt2r_1_classified_0.csv
40	0.977	0.585	0.747	0.661	0.582	0.644	839	49712	357	835	1674	51743	coastnet	./predictions/ATL24_20210427235004_05221102_006_02_gt2r_0_classified_0.csv
40	0.980	0.811	0.862	0.839	0.806	0.829	781	16815	74	291	1072	17961	coastnet	./predictions/ATL24_20210723011117_04491206_005_01_gt1r_0_classified_0.csv
40	0.989	0.648	0.933	0.924	0.667	0.793	811	80144	765	115	926	81835	coastnet	./predictions/ATL24_20190620034303_12660302_005_01_gt1l_0_classified_0.csv
40	0.914	0.835	0.876	0.846	0.778	0.834	45241	144575	6122	11799	57040	207737	coastnet	./predictions/ATL24_20200718022252_03470807_005_01_gt1l_0_classified_0.csv
40	0.923	0.853	0.881	0.858	0.807	0.850	75437	239140	5390	20698	96135	340665	coastnet	./predictions/ATL24_20220305094508_11171401_005_01_gt2l_0_classified_0.csv
40	0.945	0.604	0.763	0.688	0.579	0.659	2147	46357	1039	1771	3918	51314	coastnet	./predictions/ATL24_20200827144340_09660803_005_01_gt2l_0_classified_0.csv
40	0.978	0.849	0.879	0.862	0.844	0.858	3018	45635	132	944	3962	49729	coastnet	./predictions/ATL24_20220831181154_10821602_005_01_gt3r_0_classified_0.csv
40	0.978	0.632	0.921	0.907	0.646	0.777	454	22990	455	73	527	23972	coastnet	./predictions/ATL24_20200827220630_09700813_005_01_gt3l_0_classified_0.csv
40	0.967	0.656	0.759	0.682	0.665	0.691	2804	84102	366	2569	5373	89841	coastnet	./predictions/ATL24_20200401184200_00950707_005_01_gt3r_0_classified_0.csv
40	0.986	0.697	0.862	0.838	0.690	0.772	976	56841	494	355	1331	58666	coastnet	./predictions/ATL24_20190819055313_07960412_005_01_gt1l_0_classified_0.csv
40	0.868	0.359	0.609	0.359	0.434	0.440	337	7574	0	1204	1541	9115	coastnet	./predictions/ATL24_20200105221354_01560601_005_01_gt1r_0_classified_0.csv
40	0.931	0.858	0.883	0.863	0.820	0.856	5882	20502	299	1653	7535	28336	coastnet	./predictions/ATL24_20200519231048_08310706_005_01_gt3l_0_classified_0.csv
40	0.965	0.659	0.751	0.668	0.680	0.689	4568	126736	213	4511	9079	136028	coastnet	./predictions/ATL24_20221012141554_03341701_005_01_gt1r_0_classified_0.csv
40	0.984	0.441	0.847	0.815	0.469	0.643	2145	330206	4553	890	3035	337794	coastnet	./predictions/ATL24_20201123173503_09240914_005_01_gt3l_0_classified_0.csv
